pockels;830nm;1100nm;920nm;1040nm_stim
3;10;0;1;1
50;14;0;1;1
100;21;0;2;4
150;30;1;6;10
200;40;3;11;20
250;53;4;18;30
300;66;7;26;47
350;77;9;35;63
400;96;12;47;81
450;110;16;58;98
500;125;20;71;116
550;140;23;83;136
600;151;27;96;159
650;163;30;108;170
700;172;34;120;188
750;180;39;132;203
800;185;43;142;215
850;188;47;152;225
900;189;50;160;232
950;187;54;166;236
1000;184;57;170;237
