pockels;920nm_-27;1100nm_-27;920nm_-150
0;0;0;17
100;4;1;32
200;15;4;52
300;32;9;75
400;54;15;98
500;78;22;121
600;83;24;126
700;84;24;126
800;85;24;127
900;85;24;127
1000;85;24;127
