pockels;1100 nm;940 nm;920 nm;830 nm
0;1;0;0;11
100;2;3;4;23
200;4;11;14;44
300;10;24;31;70
400;15;40;53;98
500;22;59;76;125
600;30;78;101;148
700;38;97;124;167
800;45;113;144;177
900;52;125;158;177
1000;58;132;166;169
